,State,RegionName,2009q2,2008q2,ratio,univ
134,Colorado,Fort Collins,217033.33333333334,222866.66666666666,1.0268775917677775,True
135,Louisiana,Shreveport,91366.66666666667,100600.0,1.1010580080262677,False
136,Indiana,Evansville,96900.0,101533.33333333333,1.0478156174750601,False
137,New York,Yonkers,429300.0,472233.3333333333,1.100007764577995,False
138,California,Hayward,303566.6666666667,434633.3333333333,1.4317557922477213,False
139,Florida,Fort Lauderdale,203666.66666666666,252466.66666666666,1.2396072013093289,False
140,Tennessee,Chattanooga,116300.0,114366.66666666667,0.9833763255947263,True
141,Georgia,Columbus,,,,False
142,Illinois,Aurora,172366.66666666666,190833.33333333334,1.1071359504931348,False
143,California,Ontario,235666.66666666666,332933.3333333333,1.4127298444130127,False
144,Mississippi,Jackson,76133.33333333333,59633.333333333336,0.7832749562171629,False
145,Texas,Grand Prairie,115633.33333333333,125033.33333333333,1.0812914384548862,False
146,California,Rancho Cucamonga,323533.3333333333,391300.0,1.2094580671749433,False
147,Kansas,Overland Park,227633.33333333334,221433.33333333334,0.9727632156977596,False
148,Virginia,Newport News,189800.0,195100.0,1.0279241306638567,False
149,California,Garden Grove,372066.6666666667,469433.3333333333,1.2616914531445975,False
150,Texas,Killeen,97566.66666666667,108633.33333333333,1.1134267167748546,False
151,Virginia,Roanoke,143966.66666666666,145700.0,1.012039824033341,False
152,Arizona,Tempe,207500.0,233533.33333333334,1.1254618473895583,True
153,Washington,Vancouver,198233.33333333334,225733.33333333334,1.1387254077686229,False
154,Alabama,Huntsville,140866.66666666666,141600.0,1.005205868433507,False
155,California,El Cajon,325266.6666666667,386200.0,1.187333469973355,False
156,California,Palmdale,175766.66666666666,284100.0,1.6163474303053291,False
157,Kansas,Topeka,104866.66666666667,,,False
158,California,Elk Grove,265633.3333333333,322800.0,1.215208934621659,False
159,Colorado,Pueblo,115233.33333333333,120166.66666666667,1.0428116864333237,False
160,Virginia,Fredericksburg,223733.33333333334,246266.66666666666,1.100715137067938,True
161,Florida,Cape Coral,123633.33333333333,174233.33333333334,1.40927473712591,False
162,Massachusetts,Springfield,128433.33333333333,142800.0,1.1118608876200364,True
163,Florida,Pembroke Pines,178266.66666666666,243033.33333333334,1.3633133881824984,False
164,Tennessee,Murfreesboro,146666.66666666666,150466.66666666666,1.0259090909090909,True
165,Tennessee,Clarksville,120800.0,121166.66666666667,1.0030353200883002,False
166,Illinois,Naperville,351833.3333333333,378866.6666666667,1.0768356229275227,False
167,Arizona,Peoria,194333.33333333334,232600.0,1.1969125214408232,False
168,Virginia,Fairfax,404200.0,438466.6666666667,1.0847765132772555,False
169,California,Santa Clarita,350633.3333333333,429000.0,1.2235003327312484,False
170,California,Pomona,225666.66666666666,338200.0,1.4986706056129986,True
171,Louisiana,Lafayette,158566.66666666666,151400.0,0.9548034475509776,True
172,Kansas,Kansas City,84200.0,87333.33333333333,1.0372129849564529,False
173,Florida,Boynton Beach,162500.0,202200.0,1.2443076923076923,False
174,New York,Syracuse,75033.33333333333,76600.0,1.0208796090626389,True
175,Oregon,Salem,191233.33333333334,200733.33333333334,1.0496775318110512,False
176,Florida,Hollywood,151433.33333333334,215366.66666666666,1.4221879815100154,False
177,New Jersey,Paterson,262366.6666666667,300633.3333333333,1.1458518612628634,False
178,Colorado,Lakewood,216600.0,224700.0,1.0373961218836565,False
179,Virginia,Alexandria,391333.3333333333,422200.0,1.0788756388415675,False
180,Ohio,Dayton,,,,False
181,Arizona,Yuma,155633.33333333334,169700.0,1.090383379738702,False
182,California,Sunnyvale,724233.3333333334,799066.6666666666,1.1033276568325123,False
183,California,Visalia,173200.0,199533.33333333334,1.1520400307929177,False
184,New Mexico,Las Cruces,170933.33333333334,163000.0,0.953588143525741,True
185,South Carolina,Charleston,212233.33333333334,209100.0,0.9852363750588974,True
186,Texas,Pasadena,92300.0,97066.66666666667,1.051643192488263,False
187,Connecticut,Bridgeport,181600.0,220800.0,1.2158590308370043,False
188,Oregon,Eugene,227333.33333333334,241533.33333333334,1.0624633431085044,True
189,California,Escondido,280733.3333333333,359600.0,1.2809308952742817,False
190,Texas,Midland,147900.0,135333.33333333334,0.9150326797385622,False
191,Delaware,Newark,219033.33333333334,230200.0,1.0509815857555926,True
192,Texas,Round Rock,171466.66666666666,186566.66666666666,1.088063763608087,False
193,Virginia,Hampton,172333.33333333334,177666.66666666666,1.0309477756286265,False
194,California,Pasadena,537966.6666666666,606000.0,1.1264638453435778,False
195,California,Torrance,553900.0,618533.3333333334,1.1166877294337125,False
196,South Carolina,Columbia,134433.33333333334,132500.0,0.9856186461691048,True
197,Texas,Mesquite,97866.66666666667,110100.0,1.125,False
198,California,Fullerton,461766.6666666667,536833.3333333334,1.1625640655453693,False
199,Michigan,Warren,81933.33333333333,108333.33333333333,1.322213181448332,False
200,Texas,McKinney,172466.66666666666,189633.33333333334,1.0995361422497103,False
201,Utah,West Valley City,180100.0,210033.33333333334,1.1662039607625394,False
202,Washington,Renton,306300.0,351900.0,1.148873653281097,False
203,Ohio,Canton,87500.0,94400.0,1.078857142857143,False
204,Louisiana,Metairie,183566.66666666666,173300.0,0.9440711821318323,False
205,California,Santa Maria,268666.6666666667,343000.0,1.2766749379652604,False
206,California,Inglewood,309400.0,425500.0,1.3752424046541694,False
207,California,Orange,457100.0,558566.6666666666,1.2219791438780718,True
208,Connecticut,New Haven,188466.66666666666,205666.66666666666,1.0912628227803325,True
209,Georgia,Cumming,238866.66666666666,251100.0,1.0512140664247838,False
210,Michigan,Flint,45233.333333333336,56966.666666666664,1.2593957258658806,True
211,California,Compton,213366.66666666666,341400.0,1.6000624902359006,False
212,Texas,McAllen,111800.0,102900.0,0.9203935599284436,False
213,Washington,Bellevue,483700.0,557566.6666666666,1.152711735924471,False
214,Michigan,Saginaw,55000.0,59566.666666666664,1.083030303030303,True
215,Indiana,Bloomington,134400.0,137400.0,1.0223214285714286,True
216,Kansas,Olathe,198166.66666666666,192900.0,0.9734230445752734,False
217,Florida,Miramar,180900.0,247966.66666666666,1.370738898102082,False
218,Arizona,Queen Creek,158000.0,206066.66666666666,1.3042194092827004,False
219,Florida,Coral Springs,229033.33333333334,282166.6666666667,1.231989521175957,False
220,California,East Los Angeles,252700.0,360400.0,1.4261970716264345,False
221,Ohio,Hamilton,126233.33333333333,136766.66666666666,1.0834433588592554,False
222,Connecticut,Hartford,120733.33333333333,133666.66666666666,1.1071231363887355,False
223,Connecticut,Stamford,464966.6666666667,518533.3333333333,1.11520539106746,False
224,Georgia,Savannah,118200.0,121300.0,1.0262267343485618,True
225,California,Simi Valley,418400.0,456966.6666666667,1.092176545570427,False
226,California,Concord,342433.3333333333,424066.6666666667,1.2383919010999709,False
227,Michigan,Sterling Heights,123000.0,152900.0,1.243089430894309,False
228,New Jersey,Elizabeth,287000.0,350533.3333333333,1.2213704994192798,False
229,Texas,Frisco,235866.66666666666,253100.0,1.073063877897117,False
230,Illinois,Joliet,139033.33333333334,146600.0,1.054423399664349,False
231,Texas,Carrollton,160066.66666666666,168500.0,1.0526863806747189,False
232,Montana,Billings,186500.0,184833.33333333334,0.9910634495084898,False
233,Pennsylvania,Allentown,123866.66666666667,131300.0,1.060010764262648,False
234,New Mexico,Santa Fe,412900.0,313833.3333333333,0.760071042221684,False
235,California,Vallejo,229333.33333333334,331733.3333333333,1.4465116279069765,False
236,Missouri,Independence,104200.0,,,False
237,California,Santa Clara,560300.0,647566.6666666666,1.155749895889107,False
238,North Carolina,Cary,265233.3333333333,278833.3333333333,1.0512756063843156,False
239,Texas,Cypress,186300.0,170766.66666666666,0.9166219359456074,False
240,Arizona,Surprise,174166.66666666666,212800.0,1.221818181818182,False
241,California,Berkeley,643000.0,686666.6666666666,1.0679108346293416,True
242,California,Hemet,147666.66666666666,226266.66666666666,1.5322799097065463,False
243,Oklahoma,Norman,123100.0,122533.33333333333,0.9953966964527484,True
244,Virginia,Falls Church,383833.3333333333,430100.0,1.1205384281372124,False
245,Illinois,Springfield,106233.33333333333,105133.33333333333,0.989645434577973,False
246,Louisiana,Lake Charles,133966.66666666666,128066.66666666667,0.9559591938293108,False
247,Texas,Denton,130766.66666666667,137833.33333333334,1.0540402752995157,True
248,California,Downey,380566.6666666667,484333.3333333333,1.2726635718665147,False
249,Colorado,Thornton,178066.66666666666,192233.33333333334,1.0795582178959193,False
250,Maryland,Frederick,252033.33333333334,287066.6666666667,1.1390027774103955,False
251,Colorado,Westminster,191000.0,198533.33333333334,1.0394415357766145,False
252,Michigan,Lansing,77700.0,89100.0,1.1467181467181466,False
253,California,Victorville,135866.66666666666,238466.66666666666,1.7551521099116782,False
254,Connecticut,Waterbury,133133.33333333334,147200.0,1.1056584877315974,False
255,Florida,New Port Richey,125666.66666666667,143700.0,1.143501326259947,False
256,California,Temecula,276333.3333333333,371866.6666666667,1.3457177322074791,False
257,Florida,Miami Gardens,136800.0,216800.0,1.5847953216374269,False
258,California,Costa Mesa,524233.3333333333,606300.0,1.156546067272843,False
259,Georgia,Athens,131833.33333333334,139600.0,1.058912768647282,True
260,New Hampshire,Manchester,187100.0,209000.0,1.117049706039551,False
261,California,Vista,330900.0,404966.6666666667,1.2238339881132265,False
262,California,Tracy,268366.6666666667,364300.0,1.3574711215998012,False
263,California,Ventura,419766.6666666667,468633.3333333333,1.1164138807273882,False
264,California,Murrieta,249166.66666666666,355700.0,1.4275585284280936,False
265,Illinois,Peoria,93966.66666666667,95133.33333333333,1.0124157502660518,True
266,California,Chico,267433.3333333333,287700.0,1.0757821263866385,True
267,Michigan,Ann Arbor,220233.33333333334,231866.66666666666,1.052822763735432,True
268,Massachusetts,Lowell,195733.33333333334,213400.0,1.090258855585831,False
269,Georgia,Gainesville,146000.0,158333.33333333334,1.0844748858447488,False
270,California,Clovis,253366.66666666666,296566.6666666667,1.1705038810682806,False
271,Massachusetts,Cambridge,420166.6666666667,419033.3333333333,0.9973026576755255,True
272,Nevada,Sparks,195433.33333333334,249833.33333333334,1.2783557905509124,False
273,California,Roseville,306833.3333333333,349300.0,1.1384030418250952,False
274,California,Norwalk,281700.0,377700.0,1.3407880724174654,False
275,California,Redding,230366.66666666666,252800.0,1.0973809868325857,False
276,California,El Monte,316500.0,377366.6666666667,1.1923117430226435,False
277,Texas,College Station,168866.66666666666,162866.66666666666,0.9644690090801421,True
278,California,Burbank,497633.3333333333,562400.0,1.1301493737021904,False
279,Utah,West Jordan,249533.33333333334,266333.3333333333,1.0673256745925728,False
280,Idaho,Nampa,130766.66666666667,165200.0,1.263318888605659,False
281,Washington,Everett,246933.33333333334,285433.3333333333,1.15591252699784,False
282,Oklahoma,Broken Arrow,,,,False
283,Utah,Provo,224500.0,216933.33333333334,0.9662954714179659,True
284,South Carolina,Spartanburg,94300.0,93800.0,0.9946977730646872,True
285,Oregon,Bend,254700.0,303866.6666666667,1.1930375605287267,False
286,Florida,Palm Bay,100966.66666666667,129833.33333333333,1.2859029382634533,False
287,Alabama,Tuscaloosa,136933.33333333334,139366.66666666666,1.017770204479065,True
288,Florida,Clearwater,145533.33333333334,173433.33333333334,1.1917086578103526,False
289,Virginia,Springfield,364600.0,406766.6666666667,1.1156518559151583,False
290,North Carolina,Wilmington,189000.0,204400.0,1.0814814814814815,False
291,Florida,Pompano Beach,136766.66666666666,174566.66666666666,1.2763831342919816,False
292,California,Hesperia,144300.0,246666.66666666666,1.7094017094017093,False
293,Colorado,Grand Junction,211566.66666666666,222766.66666666666,1.0529383960926422,True
294,South Carolina,Rock Hill,129533.33333333333,127800.0,0.9866186309830159,True
295,Georgia,Stone Mountain,108833.33333333333,133766.66666666666,1.2290964777947933,False
296,North Dakota,Fargo,146133.33333333334,146700.0,1.0038777372262773,True
297,New Jersey,Edison,336633.3333333333,360800.0,1.0717892860679277,False
298,California,West Covina,346600.0,415600.0,1.199076745527986,False
299,California,Carlsbad,558400.0,610566.6666666666,1.0934216809933142,False
300,California,Vacaville,295333.3333333333,342200.0,1.1586907449209933,False
301,Texas,Lewisville,151466.66666666666,161433.33333333334,1.0658010563380282,False
302,Oregon,Beaverton,246900.0,271733.3333333333,1.100580531929256,False
303,Florida,Saint Augustine,191333.33333333334,212700.0,1.1116724738675958,False
304,Florida,West Palm Beach,152033.33333333334,203266.66666666666,1.3369875027406268,False
305,Missouri,Columbia,152300.0,144066.66666666666,0.9459400306412781,True
306,Pennsylvania,Erie,73066.66666666667,75300.0,1.0305656934306568,True
307,North Carolina,Jacksonville,137133.33333333334,136633.33333333334,0.9963539134662129,False
308,Georgia,Norcross,111333.33333333333,136166.66666666666,1.223053892215569,False
309,Wisconsin,Green Bay,114300.0,117966.66666666667,1.0320793234179062,True
310,California,Fairfield,268600.0,344933.3333333333,1.2841896252171754,False
311,California,Madera,175133.33333333334,236833.33333333334,1.3523030072325848,False
312,California,San Mateo,642333.3333333334,739366.6666666666,1.151063829787234,False
313,California,Merced,147066.66666666666,207100.0,1.408204895738894,True
314,California,Daly City,498166.6666666667,629633.3333333334,1.2639009702241553,False
315,California,Perris,172166.66666666666,284633.3333333333,1.65324298160697,False
316,Michigan,Livonia,124600.0,154066.66666666666,1.236490101658641,False
317,California,San Leandro,345333.3333333333,430566.6666666667,1.246814671814672,False
318,Michigan,Dearborn,93000.0,121833.33333333333,1.3100358422939067,False
319,California,South Gate,255833.33333333334,391100.0,1.528729641693811,False
320,Georgia,Sandy Springs,356666.6666666667,382266.6666666667,1.0717757009345794,False
321,New York,Town of Greece,113100.0,115933.33333333333,1.0250515767757147,False
322,New York,Albany,169900.0,173333.33333333334,1.0202079654698843,True
323,Texas,Richardson,164933.33333333334,176633.33333333334,1.0709377526273243,False
324,Virginia,Portsmouth,165133.33333333334,172700.0,1.0458215583366977,False
325,Texas,Longview,126266.66666666667,117000.0,0.9266103484688489,False
326,Maryland,Laurel,285133.3333333333,327200.0,1.1475333177460838,False
327,Florida,Orange Park,160200.0,172800.0,1.0786516853932584,False
328,Florida,Vero Beach,143266.66666666666,172433.33333333334,1.203583061889251,False
329,Florida,Spring Hill,112466.66666666667,144533.33333333334,1.2851215174866628,False
330,Georgia,Duluth,172533.33333333334,192266.66666666666,1.114374034003091,False
331,Florida,Davie,204700.0,257966.66666666666,1.2602182055039894,False
332,Pennsylvania,West Chester,346466.6666666667,356133.3333333333,1.0279007119492014,True
333,Maryland,Columbia,329500.0,359833.3333333333,1.092058674759737,False
334,Massachusetts,Newton,650466.6666666666,672566.6666666666,1.0339756072563289,False
335,Massachusetts,Brockton,179266.66666666666,223166.66666666666,1.24488657493492,False
336,Georgia,Albany,101066.66666666667,104133.33333333333,1.030343007915567,True
337,Florida,Lakeland,124633.33333333333,145533.33333333334,1.1676918962289384,False
338,Kansas,Lawrence,187866.66666666666,179233.33333333334,0.9540454222853089,True
339,Florida,Lehigh Acres,78333.33333333333,151666.66666666666,1.9361702127659575,False
340,California,Napa,425933.3333333333,552666.6666666666,1.2975426514321489,False
341,California,Mission Viejo,511300.0,577733.3333333334,1.129930243171002,False
342,California,Santa Cruz,607100.0,634433.3333333334,1.0450227859221435,True
343,New Jersey,Lakewood Township,242466.66666666666,266800.0,1.1003574374484466,False
344,California,Antioch,215800.0,340500.0,1.577849860982391,False
345,Colorado,Centennial,250766.66666666666,263200.0,1.0495812840622092,False
346,Florida,Riverview,142166.66666666666,176533.33333333334,1.2417350527549826,False
347,Wisconsin,Kenosha,142600.0,148566.66666666666,1.041841982234689,False
348,Indiana,South Bend,66766.66666666667,78100.0,1.1697453819271093,True
349,Colorado,Arvada,213366.66666666666,221266.66666666666,1.0370254647711294,False
350,Oklahoma,Lawton,84433.33333333333,84666.66666666667,1.0027635215159891,False
351,Maryland,Annapolis,365733.3333333333,409433.3333333333,1.1194859642726942,True
352,Michigan,Clinton Township,110333.33333333333,136633.33333333334,1.2383685800604232,False
353,California,Rialto,179400.0,294833.3333333333,1.643441099962839,False
354,California,Indio,208266.66666666666,279800.0,1.3434699103713188,False
355,Colorado,Highlands Ranch,299300.0,305866.6666666667,1.0219400824145228,False
356,Massachusetts,New Bedford,194800.0,215100.0,1.1042094455852156,False
357,Washington,Federal Way,249700.0,292500.0,1.171405686824189,False
358,Oregon,Hillsboro,236233.33333333334,261733.33333333334,1.1079441230421898,False
359,Utah,Sandy,316733.3333333333,312733.3333333333,0.9873710797726795,False
360,Illinois,Champaign,136733.33333333334,137400.0,1.0048756704046806,False
361,Pennsylvania,Bethlehem Township,263200.0,281400.0,1.0691489361702127,False
362,Colorado,Greeley,139733.33333333334,148066.66666666666,1.0596374045801524,True
363,Michigan,Canton,155266.66666666666,186766.66666666666,1.2028767711464148,False
364,Illinois,Elgin,187066.66666666666,210100.0,1.123129009265859,False
365,Idaho,Meridian,180933.33333333334,227766.66666666666,1.258843036109064,False
366,California,Santa Monica,878700.0,950333.3333333334,1.081521945297978,False
367,Washington,Kennewick,153133.33333333334,154166.66666666666,1.0067479320853285,False
368,Washington,Yakima,151033.33333333334,155333.33333333334,1.0284705363054514,False
369,Indiana,Muncie,77166.66666666667,80700.0,1.0457883369330452,True
370,Georgia,Valdosta,134566.66666666666,146766.66666666666,1.0906613822145157,True
371,Florida,Plantation,197866.66666666666,253700.0,1.282176549865229,False
372,Georgia,Lithonia,103900.0,126900.0,1.221366698748797,False
373,Michigan,Kalamazoo,86233.33333333333,91200.0,1.0575956706609972,True
374,Wyoming,Cheyenne,193533.33333333334,182833.33333333334,0.9447123665173958,False
375,Georgia,McDonough,149366.66666666666,159733.33333333334,1.0694041508591834,False
376,Indiana,Terre Haute,75333.33333333333,78433.33333333333,1.0411504424778761,True
377,California,Livermore,452533.3333333333,523700.0,1.1572628167354155,False
378,Indiana,Elkhart,104600.0,119266.66666666667,1.1402166985340982,False
379,Texas,San Angelo,,,,False
380,Minnesota,Duluth,,,,True
381,Florida,Sunrise,124266.66666666667,185466.66666666666,1.492489270386266,False
382,Utah,Orem,226300.0,236566.66666666666,1.0453675062601266,True
383,South Carolina,Anderson,114900.0,113033.33333333333,0.983753988975921,False
